Port Name,State,Measure,Value,month,year
Roosville,Montana,Personal Vehicles,10981,May, 2024
Roosville,Montana,Personal Vehicles,13302,Aug, 2022
Roosville,Montana,Personal Vehicles,19503,Jul, 2023
Roosville,Montana,Personal Vehicles,416,May, 2021
Roosville,Montana,Personal Vehicles,14538,Jul, 2022
Roosville,Montana,Personal Vehicles,13576,Jun, 2023
Roosville,Montana,Personal Vehicles,19300,Aug, 2023
Roosville,Montana,Personal Vehicles,656,Jul, 2021
Roosville,Montana,Personal Vehicles,439,Jun, 2021
Roosville,Montana,Personal Vehicles,9277,Jun, 2022
Roosville,Montana,Personal Vehicles,9550,May, 2023
Roosville,Montana,Personal Vehicles,1246,Aug, 2021
Roosville,Montana,Personal Vehicles,6815,May, 2022
Roosville,Montana,Personal Vehicles,17319,Jun, 2018
Roosville,Montana,Personal Vehicles,23323,Aug, 2017
Roosville,Montana,Personal Vehicles,13439,May, 2018
Roosville,Montana,Personal Vehicles,22990,Jun, 2017
Roosville,Montana,Personal Vehicles,13186,May, 2019
Roosville,Montana,Personal Vehicles,319,May, 2020
Roosville,Montana,Personal Vehicles,22214,Jul, 2018
Roosville,Montana,Personal Vehicles,460,Jun, 2020
Roosville,Montana,Personal Vehicles,544,Jul, 2020
Roosville,Montana,Personal Vehicles,31543,Jul, 2017
Roosville,Montana,Personal Vehicles,24307,Aug, 2019
Roosville,Montana,Personal Vehicles,24121,Aug, 2018
Roosville,Montana,Personal Vehicles,23431,Jul, 2019
Roosville,Montana,Personal Vehicles,16818,Jun, 2019
Roosville,Montana,Personal Vehicles,441,Aug, 2020
Roosville,Montana,Personal Vehicles,19979,May, 2015
Roosville,Montana,Personal Vehicles,23480,Jun, 2015
Roosville,Montana,Personal Vehicles,30142,Aug, 2015
Roosville,Montana,Personal Vehicles,33348,Jul, 2015
Roosville,Montana,Personal Vehicles,16471,May, 2017
Roosville,Montana,Personal Vehicles,17025,May, 2016
Roosville,Montana,Personal Vehicles,22546,Jun, 2016
Roosville,Montana,Personal Vehicles,30181,Aug, 2016
Roosville,Montana,Personal Vehicles,32541,Jul, 2016
Roosville,Montana,Personal Vehicles,29747,Jul, 2013
Roosville,Montana,Personal Vehicles,36626,Aug, 2014
Roosville,Montana,Personal Vehicles,32693,Jul, 2014
Roosville,Montana,Personal Vehicles,25434,Jun, 2014
Roosville,Montana,Personal Vehicles,20356,May, 2013
Roosville,Montana,Personal Vehicles,23636,Jun, 2013
Roosville,Montana,Personal Vehicles,35122,Aug, 2013
Roosville,Montana,Personal Vehicles,21746,May, 2014
Roosville,Montana,Personal Vehicles,29384,Jul, 2011
Roosville,Montana,Personal Vehicles,21089,Jun, 2012
Roosville,Montana,Personal Vehicles,26502,Aug, 2011
Roosville,Montana,Personal Vehicles,32936,Aug, 2012
Roosville,Montana,Personal Vehicles,27543,Jul, 2012
Roosville,Montana,Personal Vehicles,16793,May, 2012
Roosville,Montana,Personal Vehicles,11917,Jun, 2010
Roosville,Montana,Personal Vehicles,15297,May, 2011
Roosville,Montana,Personal Vehicles,20853,Jul, 2010
Roosville,Montana,Personal Vehicles,15755,Aug, 2009
Roosville,Montana,Personal Vehicles,23767,Aug, 2010
Roosville,Montana,Personal Vehicles,10843,May, 2010
Roosville,Montana,Personal Vehicles,18730,Jun, 2011
Roosville,Montana,Personal Vehicles,14724,Jul, 2008
Roosville,Montana,Personal Vehicles,16100,Jul, 2009
Roosville,Montana,Personal Vehicles,9842,Jun, 2009
Roosville,Montana,Personal Vehicles,11307,Jun, 2008
Roosville,Montana,Personal Vehicles,17477,Aug, 2008
Roosville,Montana,Personal Vehicles,9377,May, 2008
Roosville,Montana,Personal Vehicles,9746,May, 2009
Roosville,Montana,Personal Vehicles,13068,Jul, 2006
Roosville,Montana,Personal Vehicles,6816,May, 2006
Roosville,Montana,Personal Vehicles,6941,May, 2007
Roosville,Montana,Personal Vehicles,8988,Jun, 2007
Roosville,Montana,Personal Vehicles,15643,Aug, 2007
Roosville,Montana,Personal Vehicles,13689,Aug, 2006
Roosville,Montana,Personal Vehicles,13688,Jul, 2007
Roosville,Montana,Personal Vehicles,8617,Jun, 2006
Roosville,Montana,Personal Vehicles,11100,Aug, 2004
Roosville,Montana,Personal Vehicles,11578,Jul, 2004
Roosville,Montana,Personal Vehicles,12309,Jul, 2005
Roosville,Montana,Personal Vehicles,7161,Jun, 2004
Roosville,Montana,Personal Vehicles,7727,Jun, 2005
Roosville,Montana,Personal Vehicles,6111,May, 2005
Roosville,Montana,Personal Vehicles,11991,Aug, 2005
Roosville,Montana,Personal Vehicles,5541,May, 2004
Roosville,Montana,Personal Vehicles,7338,Jun, 2002
Roosville,Montana,Personal Vehicles,6065,May, 2002
Roosville,Montana,Personal Vehicles,7199,Jun, 2003
Roosville,Montana,Personal Vehicles,11045,Jul, 2002
Roosville,Montana,Personal Vehicles,11901,Aug, 2002
Roosville,Montana,Personal Vehicles,5695,May, 2003
Roosville,Montana,Personal Vehicles,10835,Aug, 2003
Roosville,Montana,Personal Vehicles,10717,Jul, 2003
Roosville,Montana,Personal Vehicles,8950,Jun, 2000
Roosville,Montana,Personal Vehicles,13670,Aug, 2000
Roosville,Montana,Personal Vehicles,14341,Aug, 2001
Roosville,Montana,Personal Vehicles,7417,May, 2000
Roosville,Montana,Personal Vehicles,14325,Jul, 2000
Roosville,Montana,Personal Vehicles,13974,Jul, 2001
Roosville,Montana,Personal Vehicles,6935,May, 2001
Roosville,Montana,Personal Vehicles,8518,Jun, 2001
Roosville,Montana,Personal Vehicles,7837,May, 1998
Roosville,Montana,Personal Vehicles,7974,Jun, 1999
Roosville,Montana,Personal Vehicles,8904,Jun, 1998
Roosville,Montana,Personal Vehicles,13870,Jul, 1998
Roosville,Montana,Personal Vehicles,15281,Jul, 1999
Roosville,Montana,Personal Vehicles,6724,May, 1999
Roosville,Montana,Personal Vehicles,14700,Aug, 1999
Roosville,Montana,Personal Vehicles,13543,Aug, 1998
Roosville,Montana,Personal Vehicles,13400,Jul, 1997
Roosville,Montana,Personal Vehicles,15022,Aug, 1996
Roosville,Montana,Personal Vehicles,14333,Jul, 1996
Roosville,Montana,Personal Vehicles,14624,Aug, 1997
Roosville,Montana,Personal Vehicles,7181,May, 1997
Roosville,Montana,Personal Vehicles,12223,Jun, 1996
Roosville,Montana,Personal Vehicles,7460,May, 1996
Roosville,Montana,Personal Vehicles,8538,Jun, 1997
Roosville,Montana,Personal Vehicles,14123,Jun, 2024
Roosville,Montana,Personal Vehicles,19991,Jul, 2024
Roosville,Montana,Personal Vehicles,20640,Aug, 2024
Roosville,Montana,Personal Vehicles,8073,May, 2025
Roosville,Montana,Personal Vehicles,11198,Jun, 2025
Roosville,Montana,Personal Vehicles,16869,Jul, 2025
Roosville,Montana,Personal Vehicles,16636,Aug, 2025
